1 1 0.690104  0.0425467
1.167 0.597449 0.690104 0.145143 0.010038
0.302503 -0.651499 0.145143 0.0208916 0.00658448
0.909721 -0.482881 0.0208916 -0.191239 0.00845612
0.98184 0.561552 -0.191239 -0.285832 0.00227587
-0.902609 -0.540018 -0.285832 -0.345089 0.00491457
0.658738 0.731824 -0.345089 -0.362529 0.00453865
-0.66946 -0.656082 -0.362529 -0.385552 0.00479481
-0.763902 -0.695343 -0.385552 -0.409367 0.0036502
0.878307 0.588429 -0.409367 -0.415623 0.0041726
-0.745294 -0.609612 -0.415623 -0.433603 0.00150243
-0.822139 0.634353 -0.433603 -0.443764 0.00163225
0.80996 0.624198 -0.443764 -0.446919 0.00346841
 
